Advertiser ID,Advertiser Name,Advertiser URL,Advertiser Category,Program ID,Program Name,Program Logo URI,Active Date,Template Terms Name,Insertion Order Status,Tracking Link,Allows Deep Linking,Payout
3870586,eBrands Global Oy,https://ebrands.com/,Home & Garden,18361,Mioeco,/display-logo-via-campaign/18361.gif,"Jan 29, 2025 11:28",Public Terms,Active,https://mioeco.sjv.io/c/5980041/1582184/18361,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Bed & Bath,18531,Pure Scentum Affiliate Program,/display-logo-via-campaign/18531.gif,"Jan 29, 2025 11:28",Public Terms,Active,https://pure-scentum.pxf.io/c/5980041/1597424/18531,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Art & Craft Supplies,18532,Hieno Affiliate program,/display-logo-via-campaign/18532.gif,"Jan 29, 2025 11:26",Public Terms,Active,https://hieno-supplies.sjv.io/c/5980041/1597427/18532,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Spa & Personal Grooming,18533,Ontaki Affiliate program,/display-logo-via-campaign/18533.gif,"Jan 29, 2025 11:28",Public Terms,Active,https://ontaki.pxf.io/c/5980041/1597430/18533,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Women's Apparel,18534,Asebbo Affiliate program,/display-logo-via-campaign/18534.gif,"Jan 29, 2025 11:28",Public Terms,Active,https://asebbo.pxf.io/c/5980041/1597432/18534,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Bed & Bath,18535,Byre Affiliate program,/display-logo-via-campaign/18535.gif,"Jan 29, 2025 11:28",Public Terms,Active,https://byre-group.pxf.io/c/5980041/1597434/18535,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Spa & Personal Grooming,18536,Hana Emi Affiliate program,/display-logo-via-campaign/18536.gif,"Jan 29, 2025 11:28",Public Terms,Active,https://hana-emi.pxf.io/c/5980041/1597459/18536,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Romance,18661,Nudco,/display-logo-via-campaign/18661.gif,"Jan 29, 2025 11:29",Public Terms,Active,https://nudco.pxf.io/c/5980041/1608960/18661,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Women's Apparel,18662,Cloudfield,/display-logo-via-campaign/18662.gif,"Jan 29, 2025 11:29",Public Terms,Active,https://cloudfield.pxf.io/c/5980041/1608962/18662,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Games/Toys,18664,GAFLY,/display-logo-via-campaign/18664.gif,"Jan 29, 2025 11:29",Public Terms,Active,https://gafly.pxf.io/c/5980041/1608966/18664,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,,18668,Silginnes,/display-logo-via-campaign/18668.gif,"Jan 29, 2025 11:29",Public Terms,Active,https://silginnes.sjv.io/c/5980041/1608972/18668,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Art & Photography,18671,Throwback Traits,/display-logo-via-campaign/18671.gif,"Jan 29, 2025 11:29",Public Terms,Active,https://throwback-traits.pxf.io/c/5980041/1609234/18671,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Sports Apparel & Accessories,24273,Angles90,/display-logo-via-campaign/24273.gif,"Feb 3, 2025 18:15",Public Terms,Active,https://angles90.sjv.io/c/5980041/1979996/24273,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Sports Apparel & Accessories,24275,Lux,/display-logo-via-campaign/24275.gif,"Feb 3, 2025 18:13",Public Terms,Active,https://lux.sjv.io/c/5980041/1980001/24275,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Spa & Personal Grooming,24278,Charlemange,/display-logo-via-campaign/24278.gif,"Feb 3, 2025 18:15",Public Terms,Active,https://charlemange.pxf.io/c/5980041/1980006/24278,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Clothing & Accessories,24279,Baby Sunnies,/display-logo-via-campaign/24279.gif,"Feb 3, 2025 18:15",Public Terms,Active,https://babysunnies.pxf.io/c/5980041/1980009/24279,true,Online Sale: 10%
5605762,EezyBrands Corporation,https://www.eezysun.com/,Outdoors & Recreation,26398,EEZYSUN,/display-logo-via-campaign/26398.gif,"Jan 29, 2025 11:19",Public Terms,Active,https://eezybrandscorporation.pxf.io/c/5980041/2095091/26398,true,Online Sale: 20%
2998494,Electronicx,http://electronicx.de/,Parts & Accessories,14483,Electronicx,/display-logo-via-campaign/14483.gif,"Jan 29, 2025 11:25",Public Terms 10%,Expired,https://electronicx.pxf.io/c/5980041/1146066/14483,true,Sale: 10%
4950743,EMEET,http://emeet.com,B2B,22141,EMEET,/display-logo-via-campaign/22141.gif,"Feb 3, 2025 18:22",Public Terms,Expired,https://emeetcom.pxf.io/c/5980041/1850245/22141,true,Online Sale: 10%-12%
4950743,EMEET,http://emeet.com,B2B,22143,EMEET-JP,/display-logo-via-campaign/22143.gif,"Feb 3, 2025 18:15",Public Terms,Expired,https://emeetcojp.sjv.io/c/5980041/1850250/22143,true,Online Sale: 10%
5606089,Epha Medtech Inc.,https://www.linnerlife.com,,26400,LINNER OTC Heraing Aids,/display-logo-via-campaign/26400.gif,"Jan 29, 2025 11:21",General Terms,Active,https://ephamedtechinc.pxf.io/c/5980041/2095211/26400,true,Online Sale: 15%
5252685,Escalade Sports,http://www.escaladesports.com,Sports & Exercise Equipment,23851,Victory Tailgate,/display-logo-via-campaign/23851.gif,"Feb 3, 2025 18:15",Public Terms,Active,https://victorytailgate.pxf.io/c/5980041/1958176/23851,true,Online Sale: 10%
6476317,Esmond Natural Inc,https://www.esmondnaturalusa.com,Diet & Nutrition,40711,Esmond Natural USA,/display-logo-via-campaign/40711.gif,"Dec 8, 2025 11:34",Public Terms,Active,https://esmondnatural.sjv.io/c/5980041/3225303/40711,true,Online sale: 10%
4960297,Ettika,https://www.ettika.com,Women's Apparel,22195,Ettika,/display-logo-via-campaign/22195.gif,"Dec 4, 2025 08:52",Public Terms,Active,https://ettika.pxf.io/c/5980041/1852880/22195,true,Online Sale: 6%
6439311,Everything Kitchens,https://www.everythingkitchens.com,Kitchen & Dining,39833,Everything Kitchens,/display-logo-via-campaign/39833.gif,"Dec 8, 2025 11:33",Public Terms,Active,https://everythingkitchens.sjv.io/c/5980041/3193005/39833,true,Online Sale: 5%
5361946,EWP PTE. LTD,http://www.justfitpro.com,Apps,24460,JustFit,/display-logo-via-campaign/24460.gif,"Dec 8, 2025 21:14",Public Terms,Active,https://justfit.sjv.io/c/5980041/1989820/24460,true,"Online Sale: 45%
iOS-JustFit: 35%
Android-JustFit: 35%
iOS-JustFit: 0%
Android-JustFit: 0%"
5361946,EWP PTE. LTD,http://www.justfitpro.com,Apps,24461,Me+ Daily Routine Planner ,/display-logo-via-campaign/24461.gif,"Dec 8, 2025 21:18",Public Terms,Active,https://me.sjv.io/c/5980041/1989822/24461,true,"Android-Me+: 35%
iOS-Me+: 35%
Android-Me+: 0%
iOS-Me+: 0%"
5361946,EWP PTE. LTD,http://www.justfitpro.com,Apps,24462,"ShutEye®: Sleep Tracker, Sound",/display-logo-via-campaign/24462.gif,"Dec 8, 2025 21:18",shuteye,Active,https://shuteye.pxf.io/c/5980041/1989824/24462,true,"iOS-ShutEye: 35%
Android-ShutEye: 35%
iOS-ShutEye: 0%
Android-ShutEye: 0%"
